Comune;Provincia;Tipologia;Categoria;Denominazione;Indirizzo;Località;CAP;Sigla provincia;Codice ISTAT del comune;Telefono 1;Telefono 2;FAX;Sito internet;Indirizzo posta elettronica;Anno di riferimento;Longitudine;Latitudine
AGAZZANO;PIACENZA;Albergo;2 stelle;HOTEL IL CERVO;Piazza Europa, 20;;29010;PC;33001;0523 975208;;0523 971935;www.ristoranteilcervo.it;info@ristoranteilcervo.it;2016;9.5193274;44.9464553
AGAZZANO;PIACENZA;Albergo;4 stelle;LOCANDA TAVERNAGO;Strada Tavernago, 12;;29010;PC;33001;0523 976956;;;www.locandatavernago.it;locandatavernago@yahoo.it;2016;9.521966;44.9476229
AGAZZANO;PIACENZA;Bed & Breakfast;;B&B PODERE CAMPANA;Via Grintorto 9;;29010;PC;33001;0523 976888;;0523 976888;;ferniarduino@libero.it;2016;9.4738437;44.9832565
AGAZZANO;PIACENZA;Residenza turistico alberghiera;2 stelle;RESIDENCE LUISA;Via Anguissola, 3/D;;29010;PC;33001;0523 975208;;0523 975208;;info@ristoranteilcervo.it;2016;9.5192694;44.9460562
ALSENO;PIACENZA;Agriturismo;;AGRITURISMO LA RONDANINA;Via Sandrone, 231 - Loc. La Rondanina;Castelnuovo Fogliani;29010;PC;33002;0523 947541;;0523 947541;www.larondanina.it;info@larondanina.it;2016;9.976109;44.876904
ALSENO;PIACENZA;Agriturismo;3 margherite;AGRITURISMO IL VALLONE;Località Il Vallone Via Emilia, 24;Castelnuovo Fogliani;29010;PC;33002;0523 949446;;0523 949446;www.agriturismoilvallone.it;info@agriturismoilvallone.it;2016;9.96343;44.89869
ALSENO;PIACENZA;Albergo;3 stelle;HOTEL BOSCHI;Frazione Cortina, 59;;29010;PC;33002;0523 948102;;;;giuseppe.boschi@alice.it;2016;9.966562;44.896987
ALSENO;PIACENZA;Albergo;3 stelle;HOTEL DA PAOLO;Frazione Lusurasco;;29010;PC;33002;0523 948123;;0523 948322;www.albergodapaolo.it;albergo-dapaolo@alice.it;2016;9.910481;44.889556
ALSENO;PIACENZA;Bed & Breakfast;;B&B VILLA BELLARIA;Via dei Gasperini 6;Fellegara di Cortina;29010;PC;33002;0523 947537;;;www.villabellariabb.it;info@villabellariabb.it;2016;9.9352013;44.8583768
BESENZONE;PIACENZA;Affittacamere;;LOCANDA LA FIASCHETTERIA;Via Bersano, 59 B;Bersano;29010;PC;33003;0523 830444;;0523 830444;www.la-fiaschetteria.it;info@la-fiaschetteria.it;2016;10.0109155;44.9834119
