ANNO;ID_SEZIONE_CENSIMENTO_ISTAT;TOT_RESIDENTI;TOT_RESIDENTI_ITALIANI;TOT_RESIDENTI_STRANIERI
2017;390;16;-;-
2017;578;745;731;14
2017;454;36;-;-
2017;506;665;639;26
2017;1571;349;-;-
2017;989;<10;-;-
2017;1546;212;201;11
2017;1487;198;185;13
2017;1570;377;361;16
2017;1532;54;-;-
2017;792;205;192;13
2017;1247;16;-;-
2017;364;245;173;72
2017;1226;11;-;-
2017;937;25;-;-
2017;204;205;170;35
2017;213;22;-;-
2017;308;281;236;45
2017;309;196;166;30
2017;1382;154;131;23
2017;411;104;-;-
2017;1529;50;36;14
2017;208;51;-;-
2017;1338;245;173;72
2017;151;239;84;155
2017;547;211;189;22
2017;287;98;-;-
2017;1201;153;130;23
2017;1547;251;225;26
2017;591;73;-;-
2017;586;103;-;-
2017;587;75;-;-
2017;127;107;87;20
2017;130;<10;-;-
2017;921;161;148;13
2017;1244;329;232;97
2017;1111;40;-;-
2017;293;69;48;21
2017;260;23;12;11
2017;650;245;-;-
2017;1354;304;258;46
2017;562;80;-;-
2017;244;20;-;-
2017;1550;258;243;15
2017;1554;181;-;-
2017;401;45;-;-
2017;1636;78;-;-
2017;572;19;-;-
2017;801;88;71;17
2017;759;446;403;43
2017;771;76;-;-
2017;42;48;-;-
2017;805;136;-;-
2017;101;236;186;50
2017;20;79;53;26
2017;799;61;-;-
2017;750;312;280;32
2017;78;162;135;27
2017;1559;119;-;-
2017;764;30;-;-
2017;575;241;-;-
2017;753;102;-;-
2017;803;120;107;13
2017;818;163;-;-
2017;944;110;96;14
2017;966;<10;-;-
2017;1083;37;-;-
2017;954;477;367;110
2017;701;46;30;16
2017;758;368;356;12
2017;813;119;-;-
2017;756;84;-;-
2017;782;<10;-;-
2017;1;350;199;151
2017;900;84;24;60
2017;927;<10;-;-
2017;766;20;-;-
2017;147;151;103;48
2017;36;64;49;15
2017;87;30;20;10
2017;924;39;-;-
2017;1310;84;-;-
2017;439;20;-;-
2017;446;<10;-;-
2017;166;22;-;-
2017;1333;149;-;-
2017;307;96;-;-
2017;179;30;-;-
2017;1098;93;-;-
2017;867;<10;-;-
2017;435;<10;-;-
2017;1093;91;-;-
2017;185;<10;-;-
2017;856;175;157;18
2017;237;285;168;117
2017;51;108;85;23
2017;274;<10;-;-
2017;836;109;-;-
2017;1089;99;-;-
2017;1504;58;-;-
2017;747;103;81;22
2017;739;42;-;-
2017;837;63;-;-
2017;1178;249;175;74
2017;1434;<10;-;-
2017;847;29;-;-
2017;851;64;-;-
2017;849;24;-;-
2017;727;394;280;114
2017;1175;162;117;45
2017;1163;36;-;-
2017;1169;100;71;29
2017;1195;136;105;31
2017;1148;<10;-;-
2017;1188;31;20;11
2017;1293;<10;-;-
2017;1453;20;-;-
2017;1465;12;-;-
2017;1600;32;-;-
2017;233;541;472;69
2017;1205;137;98;39
2017;1287;35;-;-
2017;201;81;67;14
2017;620;856;822;34
2017;905;21;-;-
2017;47;104;74;30
2017;613;18;-;-
2017;1466;<10;-;-
2017;876;23;-;-
2017;1398;12;-;-
2017;1553;94;-;-
2017;602;35;-;-
2017;598;84;62;22
2017;870;23;13;10
2017;465;64;-;-
2017;1031;<10;-;-
2017;1375;<10;-;-
2017;603;41;31;10
2017;1445;14;-;-
2017;1457;65;46;19
2017;1001;124;101;23
2017;908;46;-;-
2017;1424;169;132;37
2017;625;50;33;17
2017;1438;22;-;-
2017;1130;<10;-;-
2017;393;79;61;18
2017;325;99;50;49
2017;560;44;-;-
2017;1368;<10;-;-
2017;1507;23;-;-
2017;189;19;-;-
2017;1042;<10;-;-
2017;1353;54;39;15
2017;225;<10;-;-
2017;193;156;113;43
2017;535;227;127;100
2017;1477;53;-;-
2017;731;147;102;45
2017;1624;66;45;21
2017;507;852;744;108
2017;4;<10;-;-
2017;265;55;-;-
2017;1511;49;-;-
2017;531;<10;-;-
2017;732;122;95;27
2017;312;77;67;10
2017;180;42;25;17
2017;1233;21;-;-
2017;501;35;-;-
2017;113;36;-;-
2017;279;<10;-;-
2017;223;<10;-;-
2017;1526;368;-;-
2017;577;99;-;-
2017;911;436;391;45
2017;993;<10;-;-
2017;1069;<10;-;-
2017;102;<10;-;-
2017;790;46;-;-
2017;1589;<10;-;-
2017;1101;182;169;13
2017;1047;58;-;-
2017;424;37;22;15
2017;1016;<10;-;-
2017;455;98;77;21
2017;111;<10;-;-
2017;67;111;94;17
2017;1268;59;-;-
2017;526;10;-;-
2017;429;11;-;-
2017;168;62;49;13
2017;57;15;-;-
2017;878;56;-;-
2017;1596;27;-;-
2017;552;15;-;-
2017;1598;59;45;14
2017;1217;<10;-;-
2017;1371;<10;-;-
2017;969;<10;-;-
2017;1005;10;-;-
2017;1386;<10;-;-
2017;1528;239;225;14
2017;829;413;-;-
2017;749;136;109;27
2017;93;82;47;35
2017;1574;466;448;18
2017;897;73;-;-
2017;1573;379;367;12
2017;388;636;539;97
2017;661;125;-;-
2017;576;<10;-;-
2017;1364;384;341;43
2017;235;1887;1708;179
2017;1561;568;463;105
2017;1248;26;11;15
2017;356;63;44;19
2017;449;38;-;-
2017;916;121;74;47
2017;1321;195;132;63
2017;1295;<10;-;-
2017;221;<10;-;-
2017;209;127;95;32
2017;409;74;-;-
2017;819;247;225;22
2017;212;190;141;49
2017;210;246;219;27
2017;460;44;-;-
2017;553;24;-;-
2017;519;114;-;-
2017;1543;91;-;-
2017;1191;663;396;267
2017;1190;99;29;70
2017;1140;213;184;29
2017;1432;133;-;-
2017;1439;133;-;-
2017;1343;40;-;-
2017;1223;<10;-;-
2017;294;242;214;28
2017;1339;28;-;-
2017;599;55;-;-
2017;1527;<10;-;-
2017;565;59;-;-
2017;546;95;79;16
2017;1204;51;-;-
2017;1350;78;-;-
2017;1345;54;43;11
2017;654;348;334;14
2017;267;204;178;26
2017;863;570;475;95
2017;1329;348;318;30
2017;327;34;-;-
2017;649;133;-;-
2017;543;460;370;90
2017;804;95;80;15
2017;95;73;57;16
2017;489;201;175;26
2017;736;473;392;81
2017;744;68;56;12
2017;40;61;48;13
2017;570;21;-;-
2017;486;<10;-;-
2017;699;61;-;-
2017;945;75;-;-
2017;977;<10;-;-
2017;1623;83;47;36
2017;986;246;195;51
2017;34;69;59;10
2017;768;<10;-;-
2017;674;35;-;-
2017;980;<10;-;-
2017;1608;91;-;-
2017;947;20;-;-
2017;146;139;111;28
2017;821;178;-;-
2017;877;51;-;-
2017;73;72;53;19
2017;1119;<10;-;-
2017;1122;49;-;-
2017;1129;174;154;20
2017;83;40;-;-
2017;152;557;161;396
2017;322;251;213;38
2017;336;55;-;-
2017;930;34;-;-
2017;149;286;132;154
2017;69;154;95;59
2017;122;88;65;23
2017;470;16;-;-
2017;1312;<10;-;-
2017;443;47;-;-
2017;80;84;73;11
2017;1077;80;66;14
2017;718;13;-;-
2017;636;<10;-;-
2017;632;90;-;-
2017;473;307;241;66
2017;1622;<10;-;-
2017;1116;242;204;38
2017;1562;179;-;-
2017;112;109;82;27
2017;64;64;-;-
2017;1196;117;84;33
2017;1523;39;-;-
2017;1157;125;106;19
2017;1063;10;-;-
2017;161;<10;-;-
