ANNO;ID_SEZIONE_CENSIMENTO_ISTAT;TOT_RESIDENTI;TOT_RESIDENTI_ITALIANI;TOT_RESIDENTI_STRANIERI
2019;575;243;-;-
2019;606;203;179;24
2019;1574;481;468;13
2019;286;143;126;17
2019;1484;166;-;-
2019;1076;73;-;-
2019;1014;189;151;38
2019;1549;333;295;38
2019;588;26;-;-
2019;620;847;820;27
2019;1212;127;86;41
2019;1539;253;-;-
2019;934;142;90;52
2019;1554;173;-;-
2019;812;193;-;-
2019;1558;147;-;-
2019;506;651;621;30
2019;83;38;-;-
2019;1424;177;140;37
2019;654;353;343;10
2019;868;74;32;42
2019;787;26;-;-
2019;1392;195;169;26
2019;1262;20;-;-
2019;106;35;-;-
2019;221;<10;-;-
2019;967;<10;-;-
2019;1178;271;189;82
2019;983;435;383;52
2019;1336;112;60;52
2019;1584;22;-;-
2019;244;18;-;-
2019;933;94;50;44
2019;219;<10;-;-
2019;999;<10;-;-
2019;976;14;-;-
2019;932;655;584;71
2019;700;46;-;-
2019;1515;110;-;-
2019;1455;10;-;-
2019;70;49;-;-
2019;535;215;123;92
2019;757;137;125;12
2019;953;336;301;35
2019;1388;230;205;25
2019;335;345;300;45
2019;1593;63;-;-
2019;1572;200;-;-
2019;69;167;109;58
2019;1575;317;292;25
2019;1380;61;-;-
2019;1395;62;47;15
2019;99;113;70;43
2019;1226;10;-;-
2019;1162;<10;-;-
2019;1201;149;125;24
2019;888;66;-;-
2019;495;113;-;-
2019;129;29;17;12
2019;1151;53;-;-
2019;969;<10;-;-
2019;1556;91;-;-
2019;267;203;177;26
2019;207;297;234;63
2019;241;65;49;16
2019;1624;72;47;25
2019;1591;63;52;11
2019;322;236;211;25
2019;1514;23;-;-
2019;1594;34;-;-
2019;903;<10;-;-
2019;1459;508;445;63
2019;1175;165;119;46
2019;451;18;-;-
2019;1621;268;-;-
2019;1454;10;-;-
2019;1182;710;528;182
2019;697;22;-;-
2019;104;31;-;-
2019;1144;21;-;-
2019;82;122;94;28
2019;1522;52;42;10
2019;943;129;-;-
2019;289;31;15;16
2019;273;119;104;15
2019;1228;94;73;21
2019;848;37;-;-
2019;1120;<10;-;-
2019;1038;24;-;-
2019;589;88;-;-
2019;677;41;-;-
2019;1460;679;564;115
2019;1058;<10;-;-
2019;426;119;109;10
2019;177;45;-;-
2019;1107;170;146;24
2019;433;95;60;35
2019;1435;44;-;-
2019;537;623;543;80
2019;1320;518;371;147
2019;1447;22;-;-
2019;1492;<10;-;-
2019;471;124;111;13
2019;454;36;-;-
2019;1521;81;-;-
2019;116;182;140;42
2019;784;57;-;-
2019;270;49;33;16
2019;278;201;180;21
2019;939;403;309;94
2019;904;508;396;112
2019;1245;18;-;-
2019;1496;84;-;-
2019;840;10;-;-
2019;640;93;-;-
2019;64;62;-;-
2019;394;648;605;43
2019;97;274;91;183
2019;366;43;26;17
2019;3;<10;-;-
2019;378;93;-;-
2019;804;94;84;10
2019;1217;<10;-;-
2019;587;69;-;-
2019;945;69;-;-
2019;348;124;104;20
2019;262;<10;-;-
2019;215;28;18;10
2019;1627;17;-;-
2019;568;85;67;18
2019;1208;98;76;22
2019;523;205;142;63
2019;583;17;-;-
2019;510;11;-;-
2019;4;<10;-;-
2019;36;56;-;-
2019;325;96;51;45
2019;370;55;43;12
2019;579;236;223;13
2019;667;38;-;-
2019;511;35;-;-
2019;16;<10;-;-
2019;530;80;57;23
2019;1032;16;-;-
2019;96;16;-;-
2019;1339;24;-;-
2019;180;38;24;14
2019;268;25;-;-
2019;598;84;65;19
2019;557;72;59;13
2019;1270;<10;-;-
2019;554;23;-;-
2019;875;95;70;25
2019;1070;<10;-;-
2019;1290;11;-;-
2019;974;20;-;-
2019;1443;14;-;-
2019;1291;24;13;11
2019;1387;<10;-;-
2019;970;<10;-;-
2019;555;74;54;20
2019;1003;<10;-;-
2019;955;91;75;16
2019;958;<10;-;-
2019;373;65;22;43
2019;1007;<10;-;-
2019;1446;<10;-;-
2019;1466;<10;-;-
2019;906;55;37;18
2019;720;<10;-;-
2019;601;14;-;-
2019;1174;194;100;94
2019;796;756;710;46
2019;638;143;-;-
2019;140;83;73;10
2019;1104;<10;-;-
2019;414;118;99;19
2019;838;13;-;-
2019;1084;<10;-;-
2019;711;64;53;11
2019;727;412;287;125
2019;692;204;164;40
2019;161;<10;-;-
2019;1159;<10;-;-
2019;925;14;-;-
2019;963;73;-;-
2019;12;21;-;-
2019;77;35;-;-
2019;435;<10;-;-
2019;1053;<10;-;-
2019;849;23;-;-
2019;683;27;-;-
2019;71;77;65;12
2019;1164;<10;-;-
2019;795;187;-;-
2019;497;71;-;-
2019;686;113;95;18
2019;979;<10;-;-
2019;947;17;-;-
2019;699;60;48;12
2019;735;<10;-;-
2019;980;<10;-;-
2019;491;<10;-;-
2019;223;<10;-;-
2019;1079;32;-;-
2019;1090;<10;-;-
