COD_REGIONALE,STATO,PROVINCIA,COMUNE,ENTE_RESPONSABILE_PROCEDIMENTO,CODICE_NAZIONALE_SIN,ETRS89_32N_LON,ETRS89_32N_LAT
0803901474,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,745970,4932110
0803901476,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,754569,4921552
080390075,Certificato,RAVENNA,CERVIA,ARPAE/SAC Ravenna,,767542,4906735
0803901479,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,762955,4922954
080390165,Non contaminato,RAVENNA,RUSSI,ARPAE/SAC Ravenna,,744225,4919731
080390083,Certificato,RAVENNA,CONSELICE,ARPAE/SAC Ravenna,,725292,4935942
0803901451,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,757525,4926713
080390185,Certificato,RAVENNA,SOLAROLO,ARPAE/SAC Ravenna,,726986,4913786
080390183,Certificato,RAVENNA,SOLAROLO,ARPAE/SAC Ravenna,,726975,4913925
080390128,Certificato,RAVENNA,LUGO,ARPAE/SAC Ravenna,,731287,4921884
0803901018,Certificato,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,736859,4909981
0803901022,Non contaminato,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,732053,4912530
0803901462,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,756513,4934856
0803901211,Certificato,RAVENNA,LUGO,ARPAE/SAC Ravenna,,728910,4935496
080390092,Certificato,RAVENNA,COTIGNOLA,ARPAE/SAC Ravenna,,735349,4919343
080390133,Non contaminato,RAVENNA,MASSA LOMBARDA,ARPAE/SAC Ravenna,,724316,4925771
080390041,Certificato,RAVENNA,BRISIGHELLA,ARPAE/SAC Ravenna,,722538,4900930
0803901014,Certificato,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,725983,4903063
08039014108,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,758182,4927662
0803700677,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,"682838,167609","4930906,6235400001"
080330215,Attivata la bonifica,PIACENZA,FIORENZUOLA D'ARDA,ARPAE/SAC Piacenza,,572593,4975095
0803800894,Non contaminato,FERRARA,FERRARA,Comune di Ferrara,,"706292,31215200003","4970299,9980100002"
0803800875,Non contaminato,FERRARA,FERRARA,Comune di Ferrara,,706464,4973366
080380062,Certificato,FERRARA,COMACCHIO,ARPAE/SAC Ferrara,,756187,4950015
080390101,Attivata la bonifica,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,735982,4913816
080390134,Non contaminato,RAVENNA,MASSA LOMBARDA,ARPAE/SAC Ravenna,,725250,4925249
080390093,Non contaminato,RAVENNA,COTIGNOLA,ARPAE/SAC Ravenna,,729991,4918781
080390129,Certificato,RAVENNA,LUGO,ARPAE/SAC Ravenna,,731936,4922845
080390084,Certificato,RAVENNA,CONSELICE,ARPAE/SAC Ravenna,,728368,4938116
080390111,Non contaminato,RAVENNA,FUSIGNANO,ARPAE/SAC Ravenna,,735818,4927979
080390022,Certificato,RAVENNA,BAGNACAVALLO,ARPAE/SAC Ravenna,,742909,4926136
0803901210,Certificato,RAVENNA,LUGO,ARPAE/SAC Ravenna,,731180,4925454
080360101,Certificato,MODENA,CONCORDIA SULLA SECCHIA,ARPAE/SAC Modena,,656494,4975140
080360371,Potenzialmente contaminato,MODENA,SAN FELICE SUL PANARO,ARPAE/SAC Modena,,669622,4967269
080360386,Certificato,MODENA,SAN POSSIDONIO,ARPAE/SAC Modena,,657693,4972853
080390152,Certificato,RAVENNA,RIOLO TERME,ARPAE/SAC Ravenna,,717675,4906165
080390151,Certificato,RAVENNA,RIOLO TERME,ARPAE/SAC Ravenna,,718148,4906184
0803901016,Certificato,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,730260,4908962
080400411,Monitoraggio bonifica,FORLI' - CESENA,SAN MAURO PASCOLI,ARPAE/SAC Forlì-Cesena,,772955,4889497
0803301810,Certificato,PIACENZA,CORTEMAGGIORE,ARPAE/SAC Piacenza,,573557,4982894
0803700683,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,"685551,84569999995","4930950,5392000005"
0803700671,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,686280,4929580
080390105,Attivata la bonifica,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,728589,4908267
080400031,Attivata la bonifica,FORLI' - CESENA,BERTINORO,ARPAE/SAC Forlì-Cesena,,752538,4895926
080360059,Certificato,MODENA,CARPI,ARPAE/SAC Modena,,"648978,23308799998","4959675,7932399996"
080390104,Attivata la bonifica,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,730912,4910358
080390107,Da monitorare,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,730176,4908785
08037006118,Potenzialmente contaminato,BOLOGNA,BOLOGNA,Comune di Bologna,,"690147,21429200005","4928437,8537799995"
0804001216,Non contaminato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,742240,4899727
0804001231,Certificato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,745671,4899512
080400077,Attivata la bonifica,FORLI' - CESENA,CESENA,ARPAE/SAC Forlì-Cesena,,760598,4893686
080330217,Attivata la bonifica,PIACENZA,FIORENZUOLA D'ARDA,ARPAE/SAC Piacenza,,570285,4972416
080390074,Certificato,RAVENNA,CERVIA,ARPAE/SAC Ravenna,,768308,4903461
0803901472,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,754596,4921727
0803901453,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,758683,4929877
0803901481,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,756920,4924985
0803901452,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,759520,4926399
0803901458,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,755329,4926173
0804001232,Non contaminato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,744698,4901361
0803901470,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,762280,4926248
0803901482,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,755593,4925503
0803901478,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,757285,4924552
0803901443,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,752534,4925572
0803901468,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,756256,4924622
0803901466,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,755820,4924200
0803700687,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,"686898,4227","4931578,7370999996"
0803901455,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,756862,4927499
08039014112,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,757979,4927200
080400201,Certificato,FORLI' - CESENA,MERCATO SARACENO,ARPAE/SAC Forlì-Cesena,,756556,4872873
0803401410,Attivata la bonifica,PARMA,FIDENZA,COMUNE DI FIDENZA,,584668,4968782
080340031,Attivata la bonifica,PARMA,BEDONIA,ARPAE/SAC Parma,,550315,4927763
0803401415,Bonificato,PARMA,FIDENZA,COMUNE DI FIDENZA,,583438,4968450
080340178,Certificato,PARMA,FORNOVO DI TARO,ARPAE/SAC Parma,,587017,4948896
0803401411,Attivata la bonifica,PARMA,FIDENZA,COMUNE DI FIDENZA,,584768,4968689
080340146,Bonificato,PARMA,FIDENZA,COMUNE DI FIDENZA,,580619,4967841
080340149,Bonificato,PARMA,FIDENZA,COMUNE DI FIDENZA,,583977,4969603
080400151,Attivata la bonifica,FORLI' - CESENA,GAMBETTOLA,ARPAE/SAC Forlì-Cesena,,767218,4889980
080340323,Non contaminato,PARMA,SALSOMAGGIORE TERME,ARPAE/SAC Parma,,578292,4963779
0803503331,Certificato,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,COMUNE DI REGGIO EMILIA,,631093,4949903
0804001226,Certificato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,743091,4902043
080400452,Attivata la bonifica,FORLI' - CESENA,SAVIGNANO SUL RUBICONE,ARPAE/SAC Forlì-Cesena,,772702,4890518
0803503333,Attivata la bonifica,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,COMUNE DI REGGIO EMILIA,,629676,4949453
080350091,Certificato,REGGIO NELL'EMILIA,CAMPAGNOLA EMILIA,ARPAE/SAC Reggio -Emilia,,638819,4966381
080350051,Attivata la bonifica,REGGIO NELL'EMILIA,BORETTO,ARPAE/SAC Reggio -Emilia,,622848,4973510
080350231,Attivata la bonifica,REGGIO NELL'EMILIA,GUALTIERI,ARPAE/SAC Reggio -Emilia,,627914,4969692
080380037,Attivata la bonifica,FERRARA,BONDENO,ARPAE/SAC Ferrara,,690925,4972613
0803402759,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,"606732,68326700001","4954773,2145499997"
0803303212,Certificato,PIACENZA,PIACENZA,COMUNE DI PIACENZA,,554288,4985834
0803402745,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,"605535,96875799994","4963656,7080699997"
080330032,Certificato,PIACENZA,BESENZONE,ARPAE/SAC Piacenza,,578856,4981943
0803402713,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,607254,4960868
0803402739,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,607182,4961252
080360223,Certificato,MODENA,MIRANDOLA,ARPAE/SAC Modena,,663589,4972373
0804001236,Potenzialmente contaminato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,740311,4899018
080370563,Non contaminato,BOLOGNA,SANT'AGATA BOLOGNESE,ARPAE/SAC Bologna,,"670254,57920599997","4945850,5328099998"
080370085,Potenzialmente contaminato,BOLOGNA,BUDRIO,ARPAE/SAC Bologna,,704897,4937973
080370054,Attivata la bonifica,BOLOGNA,BENTIVOGLIO,ARPAE/SAC Bologna,,691887,4943778
080370245,Non contaminato,BOLOGNA,CREVALCORE,ARPAE/SAC Bologna,,"669866,65118499997","4954220,1457500001"
0803901465,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,756703,4920119
080370246,Bonificato,BOLOGNA,CREVALCORE,ARPAE/SAC Bologna,,"669506,932608","4953069,53945"
080990021,Certificato,RIMINI,CATTOLICA,ARPAE/SAC Rimini,,799082,4874641
080370535,Certificato,BOLOGNA,SAN GIOVANNI IN PERSICETO,ARPAE/SAC Bologna,,"674103,21190899995","4946744,1648300001"
080370244,Non contaminato,BOLOGNA,CREVALCORE,ARPAE/SAC Bologna,,"672889,29829399998","4953672,5081700003"
080370243,Non contaminato,BOLOGNA,CREVALCORE,ARPAE/SAC Bologna,,673203,4953367
0803503329,Potenzialmente contaminato,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,ARPAE/SAC Reggio -Emilia,,"636811,18110199994","4950303,3683000002"
080370283,Potenzialmente contaminato,BOLOGNA,GALLIERA,ARPAE/SAC Bologna,,696264,4957514
0803503336,Attivata la bonifica,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,COMUNE DI REGGIO EMILIA,,626935,4952633
080350431,Certificato,REGGIO NELL'EMILIA,VEZZANO SUL CROSTOLO,ARPAE/SAC Reggio -Emilia,,621504,4936670
0803901011,Certificato,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,731644,4912219
0804001237,Attivata la bonifica,FORLI' - CESENA,FORLI',ARPAE/SAC Forlì-Cesena,,743647,4901141
080360403,Bonificato,MODENA,SASSUOLO,Comune di Sassuolo,,640703,4934309
080360404,Potenzialmente contaminato,MODENA,SASSUOLO,Comune di Sassuolo,,641275,4933249
080360463,Certificato,MODENA,VIGNOLA,ARPAE/SAC Modena,,"660457,72686499998","4928820,7480300004"
080360461,Potenzialmente contaminato,MODENA,VIGNOLA,ARPAE/SAC Modena,,"660541,21200000006","4929093,1617000001"
080360201,Contaminato,MODENA,MARANO SUL PANARO,ARPAE/SAC Modena,,652657,4924119
0803901212,Non contaminato,RAVENNA,LUGO,ARPAE/SAC Ravenna,,730636,4923268
080380014,Certificato,FERRARA,ARGENTA,ARPAE/SAC Ferrara,,725064,4943775
0804001238,Certificato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,743503,4901203
0804001217,Non contaminato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,744203,4897988
0804001230,Potenzialmente contaminato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,748080,4901211
080990145,Certificato,RIMINI,RIMINI,COMUNE DI RIMINI,,786429,4884771
080990011,Certificato,RIMINI,BELLARIA-IGEA MARINA,ARPAE/SAC Rimini,,777221,4893820
080990201,Non contaminato,RIMINI,VERUCCHIO,ARPAE/SAC Rimini,,774797,4877814
080370474,Certificato,BOLOGNA,PIANORO,ARPAE/SAC Bologna,,686658,4918637
080400032,Attivata la bonifica,FORLI' - CESENA,BERTINORO,ARPAE/SAC Forlì-Cesena,,753760,4901045
080340163,Attivata la bonifica,PARMA,FONTEVIVO,ARPAE/SAC Parma,,"597560,28167599998","4969093,5603499999"
080370475,Non contaminato,BOLOGNA,PIANORO,ARPAE/SAC Bologna,,685922,4910623
080340202,Contaminato,PARMA,MEDESANO,ARPAE/SAC Parma,,592116,4955184
0803402769,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,"605908,46004999999","4960355,0252400003"
080340322,Non contaminato,PARMA,SALSOMAGGIORE TERME,ARPAE/SAC Parma,,577627,4960997
0803700686,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,"687592,92680000002","4930005,1084000003"
0804001228,Certificato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,743104,4900654
0804001234,Non contaminato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,748361,4901091
0804001215,Non contaminato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,740715,4894103
0803901023,Da monitorare,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,730089,4908872
0804000715,Certificato,FORLI' - CESENA,CESENA,ARPAE/SAC Forlì-Cesena,,757104,4900078
0803402743,Non contaminato,PARMA,PARMA,ARPAE/SAC Parma,,"606147,05024999997","4960011,4527099999"
080400074,Attivata la bonifica,FORLI' - CESENA,CESENA,ARPAE/SAC Forlì-Cesena,,761709,4895804
080340062,Certificato,PARMA,BORGO VAL DI TARO,ARPAE/SAC Parma,,561097,4926476
0803401413,Certificato,PARMA,FIDENZA,COMUNE DI FIDENZA,,583401,4968396
080370065,Attivata la bonifica,BOLOGNA,BOLOGNA,Comune di Bologna,,687366,4930321
0803700661,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,"683432,15693000006","4931613,0077900002"
0803700696,Non contaminato,BOLOGNA,BOLOGNA,Comune di Bologna,,"682529,33121700003","4930250,6580299996"
0803700666,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,682226,4930843
0803700682,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,"683896,65190000006","4930333,1995999999"
0803700673,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,"686153,99682500004","4928361,2599299997"
080370216,Certificato,BOLOGNA,CASTENASO,ARPAE/SAC Bologna,,692290,4929417
0803402737,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,602748,4964152
080370473,Potenzialmente contaminato,BOLOGNA,PIANORO,ARPAE/SAC Bologna,,687019,4917480
080370542,Certificato,BOLOGNA,SAN LAZZARO DI SAVENA,ARPAE/SAC Bologna,,691758,4927805
080340153,Certificato,PARMA,FONTANELLATO,ARPAE/SAC Parma,,593718,4970706
080340151,Monitoraggio bonifica,PARMA,FONTANELLATO,ARPAE/SAC Parma,,591113,4967063
0803401412,Certificato,PARMA,FIDENZA,COMUNE DI FIDENZA,,583248,4968040
0803402747,Contaminato,PARMA,PARMA,COMUNE DI PARMA,,605992,4961492
0803402765,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,610151,4957188
080350151,Certificato,REGGIO NELL'EMILIA,CASTELNOVO DI SOTTO,ARPAE/SAC Reggio -Emilia,,624273,4961864
0803503339,Certificato,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,COMUNE DI REGGIO EMILIA,,630996,4953810
0803501211,Contaminato,REGGIO NELL'EMILIA,CASALGRANDE,Comune di Casalgrande,,639728,4936199
080350123,Certificato,REGGIO NELL'EMILIA,CASALGRANDE,Comune di Casalgrande,,637389,4938250
080350129,Attivata la bonifica,REGGIO NELL'EMILIA,CASALGRANDE,Comune di Casalgrande,,640754,4937407
0803501210,Certificato,REGGIO NELL'EMILIA,CASALGRANDE,Comune di Casalgrande,,639139,4936157
0803501213,Bonificato,REGGIO NELL'EMILIA,CASALGRANDE,Comune di Casalgrande,,637796,4937927
0803700672,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,"688726,95874999999","4926047,51963"
0803700679,Certificato,BOLOGNA,BOLOGNA,Comune di Bologna,,"690133,94361199997","4929720,7329599997"
080370067,Contaminato,BOLOGNA,BOLOGNA,Comune di Bologna,,"684009,79989000002","4931752,2403699998"
080370069,Attivata la bonifica,BOLOGNA,BOLOGNA,Comune di Bologna,,689771,4931583
080370066,Attivata la bonifica,BOLOGNA,BOLOGNA,Comune di Bologna,,686608,4932032
080370194,Certificato,BOLOGNA,CASTEL MAGGIORE,ARPAE/SAC Bologna,,"686989,00742100005","4936703,62995"
080350127,Potenzialmente contaminato,REGGIO NELL'EMILIA,CASALGRANDE,Comune di Casalgrande,,639132,4936116
080350442,Potenzialmente contaminato,REGGIO NELL'EMILIA,VIANO,ARPAE/SAC Reggio -Emilia,,631557,4933146
080350144,Non contaminato,REGGIO NELL'EMILIA,CASTELLARANO,Comune di Castellarano,,634660,4926833
080390132,Non contaminato,RAVENNA,MASSA LOMBARDA,ARPAE/SAC Ravenna,,724426,4925552
080350126,Non contaminato,REGGIO NELL'EMILIA,CASALGRANDE,Comune di Casalgrande,,637433,4937790
0803501212,Contaminato,REGGIO NELL'EMILIA,CASALGRANDE,Comune di Casalgrande,,637941,4937752
080340176,Contaminato,PARMA,FORNOVO DI TARO,ARPAE/SAC Parma,,587203,4949878
080350128,Bonificato,REGGIO NELL'EMILIA,CASALGRANDE,Comune di Casalgrande,,637374,4938128
080340324,Attivata la bonifica,PARMA,SALSOMAGGIORE TERME,COMUNE DI SALSOMAGGIORE TERME,,578122,4966128
080340203,Attivata la bonifica,PARMA,MEDESANO,ARPAE/SAC Parma,,591951,4955205
0804001242,Certificato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,744308,4901704
0803402757,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,"606486,31411399995","4956509,1484200004"
0803402755,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,"604502,21651299996","4950191,7252599997"
080360085,Non contaminato,MODENA,CASTELVETRO DI MODENA,COMUNE DI CASTELVETRO DI MODENA,,"652932,56041000003","4932256,3749000002"
0803402770,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,605920,4965565
0803402750,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,606908,4961047
0803602312,Attivata la bonifica,MODENA,MODENA,Comune di Modena,,653576,4945025
0803602313,Attivata la bonifica,MODENA,MODENA,Comune di Modena,,650172,4946781
0803602338,Certificato,MODENA,MODENA,Comune di Modena,,653989,4942362
0803602339,Certificato,MODENA,MODENA,Comune di Modena,,647314,4941281
0803602340,Certificato,MODENA,MODENA,Comune di Modena,,652930,4943719
0803602317,Certificato,MODENA,MODENA,Comune di Modena,,"654351,64780000004","4943481,0454000002"
0803602341,Certificato,MODENA,MODENA,Comune di Modena,,653684,4944322
0803602342,Certificato,MODENA,MODENA,Comune di Modena,,653655,4945711
0803602336,Certificato,MODENA,MODENA,Comune di Modena,,652171,4946954
080360237,Contaminato,MODENA,MODENA,Comune di Modena,,657423,4948104
0803602315,Da monitorare,MODENA,MODENA,ARPAE/SAC Modena,,649194,4946557
080360239,Contaminato,MODENA,MODENA,Comune di Modena,,652530,4946942
0803602318,Certificato,MODENA,MODENA,Comune di Modena,,"652945,17060399998","4947659,3453599997"
080360139,Certificato,MODENA,FIORANO MODENESE,ARPAE/SAC Modena,,"643849,09775199997","4935702,9525899999"
080360137,Potenzialmente contaminato,MODENA,FIORANO MODENESE,ARPAE/SAC Modena,,643786,4933351
080360402,Contaminato,MODENA,SASSUOLO,Comune di Sassuolo,,642385,4936396
080360233,Attivata la bonifica,MODENA,MODENA,ARPAE/SAC Modena,,650959,4944227
0803602316,Attivata la bonifica,MODENA,MODENA,ARPAE/SAC Modena,,654019,4946053
0803602343,Certificato,MODENA,MODENA,Comune di Modena,,"650381,74832899997","4945825,9329899997"
080360272,Certificato,MODENA,NONANTOLA,ARPAE/SAC Modena,,"661491,85403399996","4949217,4808200002"
0803602344,Certificato,MODENA,MODENA,Comune di Modena,,657207,4938223
080360034,Certificato,MODENA,CAMPOGALLIANO,ARPAE/SAC Modena,,"646383,74786200002","4951634,4966599997"
0803602314,Attivata la bonifica,MODENA,MODENA,Comune di Modena,,647157,4947033
0803602345,Certificato,MODENA,MODENA,Comune di Modena,,647543,4947163
0803602310,Attivata la bonifica,MODENA,MODENA,Comune di Modena,,651354,4946303
0803602346,Certificato,MODENA,MODENA,Comune di Modena,,652845,4946419
080360123,Certificato,MODENA,FINALE EMILIA,ARPAE/SAC Modena,,677102,4969102
0803401414,Non contaminato,PARMA,FIDENZA,COMUNE DI FIDENZA,,"584154,57480299997","4968605,3475599997"
0803501215,Attivata la bonifica,REGGIO NELL'EMILIA,CASALGRANDE,Comune di Casalgrande,,639276,4935924
080360431,Certificato,MODENA,SESTOLA,ARPAE/SAC Modena,,"642459,06446799997","4900421,3328600004"
080360305,Certificato,MODENA,PAVULLO NEL FRIGNANO,ARPAE/SAC Modena,,"646196,065695","4910410,9636599999"
080360304,Certificato,MODENA,PAVULLO NEL FRIGNANO,ARPAE/SAC Modena,,"646205,94750699995","4910003,6975699998"
080360421,Certificato,MODENA,SERRAMAZZONI,ARPAE/SAC Modena,,"643007,03412099998","4919335,5597299999"
0804001227,Certificato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,744325,4901472
0804001239,Certificato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,743682,4901164
0804001225,Certificato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,743726,4901188
0804001224,Certificato,FORLI' - CESENA,FORLI',COMUNE DI FORLI',,743645,4901223
0803901480,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,757554,4928224
0803901015,Certificato,RAVENNA,FAENZA,ARPAE/SAC Ravenna,,731154,4907347
0803503334,Attivata la bonifica,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,COMUNE DI REGGIO EMILIA,,630074,4949761
0803503332,Attivata la bonifica,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,COMUNE DI REGGIO EMILIA,,627820,4950592
080350273,Non contaminato,REGGIO NELL'EMILIA,MONTECCHIO EMILIA,ARPAE/SAC Reggio -Emilia,,614683,4950483
0803402772,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,606188,4966071
080990134,Potenzialmente contaminato,RIMINI,RICCIONE,ARPAE/SAC Rimini,,"790174,36880900001","4877711,5374699999"
080990133,Attivata la bonifica,RIMINI,RICCIONE,ARPAE/SAC Rimini,,"790171,70392","4877614,0517300004"
080340421,Da monitorare,PARMA,TRAVERSETOLO,ARPAE/SAC Parma,,609884,4946153
080340164,Certificato,PARMA,FONTEVIVO,ARPAE/SAC Parma,,598116,4968845
080380071,Attivata la bonifica,FERRARA,COPPARO,ARPAE/SAC Ferrara,,719018,4973555
080350391,Contaminato,REGGIO NELL'EMILIA,SANT'ILARIO D'ENZA,ARPAE/SAC Reggio -Emilia,,615663,4957009
0803503340,Certificato,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,COMUNE DI REGGIO EMILIA,,628804,4952065
0803503330,Non contaminato,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,COMUNE DI REGGIO EMILIA,,630977,4951798
0803402751,Certificato,PARMA,PARMA,COMUNE DI PARMA,,"605846,699914","4964965,4288999997"
080400075,Attivata la bonifica,FORLI' - CESENA,CESENA,ARPAE/SAC Forlì-Cesena,,761533,4892047
0803503324,Potenzialmente contaminato,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,ARPAE/SAC Reggio -Emilia,,628530,4951606
080400072,Attivata la bonifica,FORLI' - CESENA,CESENA,ARPAE/SAC Forlì-Cesena,,761750,4895064
0803503328,Certificato,REGGIO NELL'EMILIA,REGGIO NELL'EMILIA,COMUNE DI REGGIO EMILIA,,625702,4954847
080370171,Attivata la bonifica,BOLOGNA,CASTELLO D'ARGILE,ARPAE/SAC Bologna,,685455,4950333
080370531,Certificato,BOLOGNA,SAN GIOVANNI IN PERSICETO,ARPAE/SAC Bologna,,677390,4943589
0803402744,Attivata la bonifica,PARMA,PARMA,COMUNE DI PARMA,,"603594,63508599997","4964089,2912499998"
080370022,Attivata la bonifica,BOLOGNA,ARGELATO,ARPAE/SAC Bologna,,687356,4941125
080380044,Contaminato,FERRARA,CENTO,ARPAE/SAC Ferrara,,681527,4956268
0803800841,Attivata la bonifica,FERRARA,FERRARA,Comune di Ferrara,,706427,4968629
080370384,Certificato,BOLOGNA,MINERBIO,ARPAE/SAC Bologna,,697712,4944504
080370392,Attivata la bonifica,BOLOGNA,MOLINELLA,ARPAE/SAC Bologna,,711289,4942968
080370052,Attivata la bonifica,BOLOGNA,BENTIVOGLIO,ARPAE/SAC Bologna,,692004,4943768
080370215,Bonificato,BOLOGNA,CASTENASO,ARPAE/SAC Bologna,,697030,4931620
080370491,Certificato,BOLOGNA,PORRETTA TERME,ARPAE/SAC Bologna,,658063,4892886
