Denominazione,Comune,Indirizzo,Partita
PELLETTERIE 2G DI GIUSEPPE TUTTOLANI E C. S.N.C.,CASTENASO,VIA G. VERDI 5,574581203.0
PIZZERIA DEL CORSO SNC DI MRIDHA NAZRUL E UZZAL HOWLADER,CREVALCORE,VIA MATTEOTTI 134,2736011202.0
BAR PROGRESSO S.N.C. DI WANG JIAHUI & C.,CASTEL MAGGIORE,VIA GRAMSCI 165,575291208.0
SOMAYEL S.N.C. DI HOQ MAFIZUL & C.,BOLOGNA,VIA SAN DONATO 30/E,2269811200.0
BRITISH INTERNATIONAL S.N.C. DI ROBERT HIGHTON E C.,CASALECCHIO DI RENO,GALLERIA RONZANI 3/9,2366321202.0
M.C. ALBA DI CALANCHI AURORA & C. S.N.C.,BOLOGNA,VIA G. OBERDAN 9,4144010370.0
GIEMME TRASPORTI S.N.C. DI CAVAZZA MARCO,BOLOGNA,VIA CASTIGLIONE 109/B,2080141209.0
PIZZINAT ARMANDO DI PIZZINAT ROBERTO E PIZZINAT VALENTINA S.N.C.,IMOLA,VIA BRODOLINI 13,548901206.0
IL BARONE*ROSSO S.N.C. DI BALZANO LUIGI E C.,MEDICINA,VIA MATTEOTTI 301,586711202.0
DESTRO SERVICE S.N.C. DI DESTRO FRANCO E C.,MINERBIO,VIA MARZABOTTO 5/G,2797361207.0
FREESIDE S.N.C. DI BENEDETTI LUIGI & C.,BOLOGNA,VIA DEL PRATELLO 96/E,3293831206.0
MILENA E ANDREA SNC DI CAPPUCCIO MILENA E C.,BOLOGNA,VIA PIETRO MENGOLI 26,3691371201.0
"LITOPRESS ESCULAPIO DI PARENTI GIAMPAOLO, PARENTI ALESSANDRO E BARONI VALERIA S.N.C.",BOLOGNA,VIA TERRACINI 30,729140376.0
MO.DA. PARRUCCHIERI LUI E LEI S.N.C. DI STRAFORINI MONIA E MAZZACURATI DANIELA,BARICELLA,VIA ROMA 3,523491207.0
LONGHI & TADDIA LABORATORIO ODONTOTECNICO DI LONGHI STEFANO E TADDIA ANDREA S.N.C.,BOLOGNA,VIA DELL'INDUSTRIA 33,3942780374.0
PANE E MORTADELLA S.N.C. DI RITA MAZZA & C.,BOLOGNA,VIA ARNO 36/38,2829911201.0
AUTOCARROZZERIA ITALCAR DI DARDI ROBERTA E C. S.N.C.,BOLOGNA,VIA CADUTI DI AMOLA 24,886780378.0
"TRUFFA FEDORA, E DRAGOMANNI STEFANIA E MONICA S.N.C. DI TRUFFA FEDORA & C.",BOLOGNA,VIA ZAMBONI 92,3159970379.0
CARROZZERIA VALE S.N.C. DI CAPEZZERA RAFFAELLO E CAPEZZERA VALENTINA,CALDERARA DI RENO,VIA XXV APRILE 2,2797571201.0
AUTOCARROZZERIA EUROCAR DI PIRILLO GAETANO E PIRILLO BRUNO S.N.C.,BOLOGNA,VIA DOLFI 4,866460371.0
LA*MECCANOGRAFICA DI MAGNANI STEFANO E C. S.N.C.,BOLOGNA,VIA NICOLO' DALL'ARCA 65/2B,379510373.0
GIULIANO MONARI E C. SNC,BOLOGNA,VIA VITTORIO VENETO 25/C,2271170371.0
PIZZERIA IL PORTICO S.N.C. DI ELIA MASSIMO & C.,BOLOGNA,STRADA MAGGIORE 53,2757261207.0
AL 25 S.N.C DI GABRIELLA SPORTELLI E BARBARA LEGGIO,BOLOGNA,VIA DEL PRATELLO 25,1982451203.0
TRATTORIA LA BICOCCA DI GHINI GIAN LUIGI & C. S.N.C.,CASALFIUMANESE,VIA CARSEGGIO 12,2255341204.0
MG S.N.C. DI MASCHERINI IVAN E GIORGI VALERIA,SAN BENEDETTO VAL DI SAMBRO,VIA MARCONI 12,3744591201.0
TUTTO CASA S.N.C. DI GUGLIELMI ROBERTO & C.,BOLOGNA,VIALE FELSINA 33/B,463670372.0
IL LAZZARONE SNC DI CORRADO ROBERTO E LIBERATORE ANTONIO,SAN LAZZARO DI SAVENA,VIA EMILIA 200,2862361207.0
"CINEAUDIOVISION SERVICE S.N.C. DI BONETTI MATTIA, TAGLIAVINI LORENZO, TAGLIAVINI LUCA & C.",BOLOGNA,VIA DEL TORNITORE 22-24,3483781203.0
BAIESI MAURIZIO E SARTI FABIO S.N.C.,BOLOGNA,VIA ALFONSINE 2/C,2271791200.0
SANITARIA CALDERARA SNC DI TIMELLINI MERIS E GAVINA ROBERTA,CALDERARA DI RENO,VIA DELLO SPORT 6/B,3952411209.0
